Training started at %s 

Model name is 3_layered 

epoch          iteration      train_loss     train_hw_acc   train_line_acc train_gen_acc  val_hw_acc     val_line_acc   val_gen_acc    
2              1200.0000      0.0093         95.8980        72.1406        90.7447        97.3291        75.8022        92.7129        
2              1300.0000      0.7457         95.9417        72.1872        90.7964        98.5023        75.6539        93.3785        
2              1400.0000      1.1068         96.0059        72.3293        90.8680        98.1165        84.8168        95.2510        
2              1500.0000      0.5748         96.0418        72.6753        90.9576        85.1610        94.2731        87.0276        
2              1600.0000      0.5784         96.0755        72.8398        91.0301        93.6487        79.5238        90.6373        
2              1700.0000      0.0023         96.1293        73.0994        91.1386        98.4023        79.4070        94.4275        
3              0.0000         0.0015         96.1725        73.2672        91.2165        96.5199        87.9452        94.7547        
3              100.0000       0.0112         96.1982        73.4331        91.2728        99.2332        70.7625        93.3785        
3              200.0000       0.7635         96.2140        73.4948        91.3011        94.9921        69.5248        89.4303        
3              300.0000       0.6024         96.2267        73.7765        91.3644        96.4342        81.2965        93.2205        
3              400.0000       0.3629         96.2659        74.0460        91.4515        96.1169        90.7491        94.9126        
3              500.0000       0.0418         96.2850        74.3967        91.5442        97.2214        80.2171        93.3333        
3              600.0000       0.2104         96.2899        74.4940        91.5762        96.4209        89.5745        94.9690        
3              700.0000       0.0174         96.3189        74.7266        91.6663        97.4903        87.6850        95.3976        
3              800.0000       0.0039         96.3459        74.8734        91.7231        95.1664        91.6006        94.4050        
3              900.0000       0.0022         96.3720        75.1341        91.7968        97.6875        85.3546        94.9803        
3              1000.0000      0.0945         96.4107        75.3951        91.8835        96.4556        86.4561        94.3486        
3              1100.0000      0.0017         96.4172        75.6307        91.9334        96.1888        87.4613        94.2809        
3              1200.0000      0.1230         96.4492        75.8074        92.0022        94.3483        91.6844        93.7845        
3              1300.0000      0.4471         96.4526        75.9236        92.0311        98.7628        77.3250        94.1342        
3              1400.0000      0.4953         96.4760        76.0909        92.0844        98.1658        84.3902        94.9803        
3              1500.0000      0.0075         96.4924        76.3253        92.1422        98.1167        87.6616        95.9278        
3              1600.0000      0.4226         96.5367        76.5460        92.2289        97.0283        89.9121        95.4766        
3              1700.0000      0.2912         96.5513        76.6484        92.2640        95.7752        88.7738        94.3260        
4              0.0000         0.0783         96.5581        76.7208        92.2808        97.6375        78.2869        93.2544        
4              100.0000       0.0501         96.5841        76.8640        92.3470        98.6684        82.4642        95.0931        
4              200.0000       0.0026         96.6183        77.0720        92.4181        97.3274        90.8458        95.9616        
4              300.0000       0.0083         96.6590        77.2525        92.5104        98.8572        79.8156        94.6644        
4              400.0000       0.1349         96.6881        77.3477        92.5551        96.0417        91.7515        95.1382        
4              500.0000       0.0454         96.7062        77.5833        92.6086        93.4972        92.1306        93.2092        
4              600.0000       0.0087         96.7279        77.7215        92.6637        98.1739        75.4707        93.1416        
4              700.0000       0.0213         96.7338        77.8669        92.6904        92.5438        91.3687        92.2843        
4              800.0000       0.0129         96.7555        77.9559        92.7402        98.0601        85.3095        95.3187        
4              900.0000       0.0286         96.7866        78.1230        92.8098        97.7424        85.6777        95.0818        
4              1000.0000      0.0011         96.8082        78.2701        92.8593        97.3416        87.8804        95.3074        
4              1100.0000      0.2234         96.8381        78.4158        92.9197        97.9724        88.9063        96.0180        
4              1200.0000      0.0788         96.8608        78.5890        92.9751        97.8464        87.5263        95.6345        
4              1300.0000      0.0073         96.8736        78.6493        92.9977        98.0814        85.4630        95.3299        
4              1400.0000      0.0038         96.9025        78.8375        93.0603        98.8469        85.1583        95.8714        
4              1500.0000      0.0006         96.9048        78.8485        93.0604        97.4803        86.4932        95.0028        
4              1600.0000      0.0046         96.9115        78.9881        93.0894        96.9489        87.4735        94.9351        
4              1700.0000      0.0016         96.9208        79.1074        93.1233        97.9323        87.4808        95.6345        
5              0.0000         0.0074         96.9320        79.2221        93.1489        98.2616        88.4302        96.0857        
5              100.0000       1.2203         96.9506        79.3288        93.1895        94.1929        93.5010        94.0440        
5              200.0000       0.2213         96.9595        79.3941        93.2189        96.8520        91.3402        95.6458        
5              300.0000       0.2551         96.9703        79.4907        93.2404        94.9303        89.0641        93.6717        
5              400.0000       0.0006         96.9828        79.6225        93.2799        97.8092        86.0924        95.2623        
5              500.0000       0.0020         96.9985        79.7807        93.3281        98.1529        88.9952        96.2098        
